product,price,quantity,date,region,revenue
pink morsel,3.0,546,2018-02-06,north,1638.0
pink morsel,3.0,549,2018-02-06,south,1647.0
pink morsel,3.0,577,2018-02-06,east,1731.0
pink morsel,3.0,519,2018-02-06,west,1557.0
gold morsel,9.99,580,2018-02-06,north,5794.2
gold morsel,9.99,530,2018-02-06,south,5294.7
gold morsel,9.99,576,2018-02-06,east,5754.24
gold morsel,9.99,580,2018-02-06,west,5794.2
magenta morsel,2.5,522,2018-02-06,north,1305.0
magenta morsel,2.5,560,2018-02-06,south,1400.0
magenta morsel,2.5,583,2018-02-06,east,1457.5
magenta morsel,2.5,552,2018-02-06,west,1380.0
chartreuse morsel,3.0,543,2018-02-06,north,1629.0
chartreuse morsel,3.0,574,2018-02-06,south,1722.0
chartreuse morsel,3.0,577,2018-02-06,east,1731.0
chartreuse morsel,3.0,503,2018-02-06,west,1509.0
periwinkle morsel,1.25,530,2018-02-06,north,662.5
periwinkle morsel,1.25,546,2018-02-06,south,682.5
periwinkle morsel,1.25,506,2018-02-06,east,632.5
periwinkle morsel,1.25,559,2018-02-06,west,698.75
vermilion morsel,4.99,533,2018-02-06,north,2659.67
vermilion morsel,4.99,568,2018-02-06,south,2834.32
vermilion morsel,4.99,556,2018-02-06,east,2774.44
vermilion morsel,4.99,573,2018-02-06,west,2859.27
lapis morsel,1.99,544,2018-02-06,north,1082.56
lapis morsel,1.99,577,2018-02-06,south,1148.23
lapis morsel,1.99,532,2018-02-06,east,1058.68
lapis morsel,1.99,585,2018-02-06,west,1164.15
pink morsel,3.0,529,2018-02-07,north,1587.0
pink morsel,3.0,566,2018-02-07,south,1698.0
pink morsel,3.0,514,2018-02-07,east,1542.0
pink morsel,3.0,545,2018-02-07,west,1635.0
gold morsel,9.99,506,2018-02-07,north,5054.9400000000005
gold morsel,9.99,512,2018-02-07,south,5114.88
gold morsel,9.99,524,2018-02-07,east,5234.76
gold morsel,9.99,559,2018-02-07,west,5584.41
magenta morsel,2.5,594,2018-02-07,north,1485.0
magenta morsel,2.5,596,2018-02-07,south,1490.0
magenta morsel,2.5,537,2018-02-07,east,1342.5
magenta morsel,2.5,524,2018-02-07,west,1310.0
chartreuse morsel,3.0,533,2018-02-07,north,1599.0
chartreuse morsel,3.0,547,2018-02-07,south,1641.0
chartreuse morsel,3.0,501,2018-02-07,east,1503.0
chartreuse morsel,3.0,548,2018-02-07,west,1644.0
periwinkle morsel,1.25,573,2018-02-07,north,716.25
periwinkle morsel,1.25,545,2018-02-07,south,681.25
periwinkle morsel,1.25,578,2018-02-07,east,722.5
periwinkle morsel,1.25,504,2018-02-07,west,630.0
vermilion morsel,4.99,561,2018-02-07,north,2799.3900000000003
vermilion morsel,4.99,581,2018-02-07,south,2899.19
vermilion morsel,4.99,550,2018-02-07,east,2744.5
vermilion morsel,4.99,506,2018-02-07,west,2524.94
lapis morsel,1.99,518,2018-02-07,north,1030.82
lapis morsel,1.99,537,2018-02-07,south,1068.6299999999999
lapis morsel,1.99,558,2018-02-07,east,1110.42
lapis morsel,1.99,536,2018-02-07,west,1066.64
pink morsel,3.0,534,2018-02-08,north,1602.0
pink morsel,3.0,512,2018-02-08,south,1536.0
pink morsel,3.0,501,2018-02-08,east,1503.0
pink morsel,3.0,567,2018-02-08,west,1701.0
gold morsel,9.99,590,2018-02-08,north,5894.1
gold morsel,9.99,501,2018-02-08,south,5004.99
gold morsel,9.99,515,2018-02-08,east,5144.85
gold morsel,9.99,514,2018-02-08,west,5134.86
magenta morsel,2.5,559,2018-02-08,north,1397.5
magenta morsel,2.5,550,2018-02-08,south,1375.0
magenta morsel,2.5,557,2018-02-08,east,1392.5
magenta morsel,2.5,514,2018-02-08,west,1285.0
chartreuse morsel,3.0,600,2018-02-08,north,1800.0
chartreuse morsel,3.0,542,2018-02-08,south,1626.0
chartreuse morsel,3.0,535,2018-02-08,east,1605.0
chartreuse morsel,3.0,510,2018-02-08,west,1530.0
periwinkle morsel,1.25,504,2018-02-08,north,630.0
periwinkle morsel,1.25,529,2018-02-08,south,661.25
periwinkle morsel,1.25,579,2018-02-08,east,723.75
periwinkle morsel,1.25,511,2018-02-08,west,638.75
vermilion morsel,4.99,500,2018-02-08,north,2495.0
vermilion morsel,4.99,520,2018-02-08,south,2594.8
vermilion morsel,4.99,537,2018-02-08,east,2679.63
vermilion morsel,4.99,600,2018-02-08,west,2994.0
lapis morsel,1.99,565,2018-02-08,north,1124.35
lapis morsel,1.99,501,2018-02-08,south,996.99
lapis morsel,1.99,533,2018-02-08,east,1060.67
lapis morsel,1.99,500,2018-02-08,west,995.0
pink morsel,3.0,586,2018-02-09,north,1758.0
pink morsel,3.0,554,2018-02-09,south,1662.0
pink morsel,3.0,594,2018-02-09,east,1782.0
pink morsel,3.0,505,2018-02-09,west,1515.0
gold morsel,9.99,597,2018-02-09,north,5964.03
gold morsel,9.99,584,2018-02-09,south,5834.16
gold morsel,9.99,553,2018-02-09,east,5524.47
gold morsel,9.99,584,2018-02-09,west,5834.16
magenta morsel,2.5,594,2018-02-09,north,1485.0
magenta morsel,2.5,568,2018-02-09,south,1420.0
magenta morsel,2.5,556,2018-02-09,east,1390.0
magenta morsel,2.5,579,2018-02-09,west,1447.5
chartreuse morsel,3.0,588,2018-02-09,north,1764.0
chartreuse morsel,3.0,540,2018-02-09,south,1620.0
chartreuse morsel,3.0,543,2018-02-09,east,1629.0
chartreuse morsel,3.0,558,2018-02-09,west,1674.0
periwinkle morsel,1.25,578,2018-02-09,north,722.5
periwinkle morsel,1.25,518,2018-02-09,south,647.5
periwinkle morsel,1.25,591,2018-02-09,east,738.75
periwinkle morsel,1.25,525,2018-02-09,west,656.25
vermilion morsel,4.99,565,2018-02-09,north,2819.35
vermilion morsel,4.99,600,2018-02-09,south,2994.0
vermilion morsel,4.99,574,2018-02-09,east,2864.26
vermilion morsel,4.99,511,2018-02-09,west,2549.8900000000003
lapis morsel,1.99,512,2018-02-09,north,1018.88
lapis morsel,1.99,540,2018-02-09,south,1074.6
lapis morsel,1.99,575,2018-02-09,east,1144.25
lapis morsel,1.99,518,2018-02-09,west,1030.82
pink morsel,3.0,554,2018-02-10,north,1662.0
pink morsel,3.0,519,2018-02-10,south,1557.0
pink morsel,3.0,550,2018-02-10,east,1650.0
pink morsel,3.0,558,2018-02-10,west,1674.0
gold morsel,9.99,509,2018-02-10,north,5084.91
gold morsel,9.99,548,2018-02-10,south,5474.52
gold morsel,9.99,517,2018-02-10,east,5164.83
gold morsel,9.99,523,2018-02-10,west,5224.77
magenta morsel,2.5,600,2018-02-10,north,1500.0
magenta morsel,2.5,562,2018-02-10,south,1405.0
magenta morsel,2.5,576,2018-02-10,east,1440.0
magenta morsel,2.5,511,2018-02-10,west,1277.5
chartreuse morsel,3.0,591,2018-02-10,north,1773.0
chartreuse morsel,3.0,569,2018-02-10,south,1707.0
chartreuse morsel,3.0,577,2018-02-10,east,1731.0
chartreuse morsel,3.0,545,2018-02-10,west,1635.0
periwinkle morsel,1.25,546,2018-02-10,north,682.5
periwinkle morsel,1.25,550,2018-02-10,south,687.5
periwinkle morsel,1.25,519,2018-02-10,east,648.75
periwinkle morsel,1.25,586,2018-02-10,west,732.5
vermilion morsel,4.99,537,2018-02-10,north,2679.63
vermilion morsel,4.99,571,2018-02-10,south,2849.29
vermilion morsel,4.99,546,2018-02-10,east,2724.54
vermilion morsel,4.99,549,2018-02-10,west,2739.51
lapis morsel,1.99,599,2018-02-10,north,1192.01
lapis morsel,1.99,570,2018-02-10,south,1134.3
lapis morsel,1.99,557,2018-02-10,east,1108.43
lapis morsel,1.99,580,2018-02-10,west,1154.2
pink morsel,3.0,518,2018-02-11,north,1554.0
pink morsel,3.0,529,2018-02-11,south,1587.0
pink morsel,3.0,521,2018-02-11,east,1563.0
pink morsel,3.0,588,2018-02-11,west,1764.0
gold morsel,9.99,518,2018-02-11,north,5174.82
gold morsel,9.99,578,2018-02-11,south,5774.22
gold morsel,9.99,534,2018-02-11,east,5334.66
gold morsel,9.99,508,2018-02-11,west,5074.92
magenta morsel,2.5,579,2018-02-11,north,1447.5
magenta morsel,2.5,516,2018-02-11,south,1290.0
magenta morsel,2.5,543,2018-02-11,east,1357.5
magenta morsel,2.5,500,2018-02-11,west,1250.0
chartreuse morsel,3.0,589,2018-02-11,north,1767.0
chartreuse morsel,3.0,511,2018-02-11,south,1533.0
chartreuse morsel,3.0,550,2018-02-11,east,1650.0
chartreuse morsel,3.0,515,2018-02-11,west,1545.0
periwinkle morsel,1.25,572,2018-02-11,north,715.0
periwinkle morsel,1.25,503,2018-02-11,south,628.75
periwinkle morsel,1.25,545,2018-02-11,east,681.25
periwinkle morsel,1.25,540,2018-02-11,west,675.0
vermilion morsel,4.99,521,2018-02-11,north,2599.79
vermilion morsel,4.99,503,2018-02-11,south,2509.9700000000003
vermilion morsel,4.99,558,2018-02-11,east,2784.42
vermilion morsel,4.99,548,2018-02-11,west,2734.52
lapis morsel,1.99,501,2018-02-11,north,996.99
lapis morsel,1.99,567,2018-02-11,south,1128.33
lapis morsel,1.99,543,2018-02-11,east,1080.57
lapis morsel,1.99,579,2018-02-11,west,1152.21
pink morsel,3.0,586,2018-02-12,north,1758.0
pink morsel,3.0,536,2018-02-12,south,1608.0
pink morsel,3.0,523,2018-02-12,east,1569.0
pink morsel,3.0,551,2018-02-12,west,1653.0
gold morsel,9.99,534,2018-02-12,north,5334.66
gold morsel,9.99,543,2018-02-12,south,5424.57
gold morsel,9.99,511,2018-02-12,east,5104.89
gold morsel,9.99,515,2018-02-12,west,5144.85
magenta morsel,2.5,500,2018-02-12,north,1250.0
magenta morsel,2.5,532,2018-02-12,south,1330.0
magenta morsel,2.5,517,2018-02-12,east,1292.5
magenta morsel,2.5,530,2018-02-12,west,1325.0
chartreuse morsel,3.0,541,2018-02-12,north,1623.0
chartreuse morsel,3.0,521,2018-02-12,south,1563.0
chartreuse morsel,3.0,531,2018-02-12,east,1593.0
chartreuse morsel,3.0,509,2018-02-12,west,1527.0
periwinkle morsel,1.25,522,2018-02-12,north,652.5
periwinkle morsel,1.25,502,2018-02-12,south,627.5
periwinkle morsel,1.25,522,2018-02-12,east,652.5
periwinkle morsel,1.25,579,2018-02-12,west,723.75
vermilion morsel,4.99,509,2018-02-12,north,2539.9100000000003
vermilion morsel,4.99,594,2018-02-12,south,2964.06
vermilion morsel,4.99,580,2018-02-12,east,2894.2000000000003
vermilion morsel,4.99,523,2018-02-12,west,2609.77
lapis morsel,1.99,578,2018-02-12,north,1150.22
lapis morsel,1.99,573,2018-02-12,south,1140.27
lapis morsel,1.99,523,2018-02-12,east,1040.77
lapis morsel,1.99,507,2018-02-12,west,1008.93
pink morsel,3.0,524,2018-02-13,north,1572.0
pink morsel,3.0,572,2018-02-13,south,1716.0
pink morsel,3.0,591,2018-02-13,east,1773.0
pink morsel,3.0,575,2018-02-13,west,1725.0
gold morsel,9.99,521,2018-02-13,north,5204.79
gold morsel,9.99,584,2018-02-13,south,5834.16
gold morsel,9.99,516,2018-02-13,east,5154.84
gold morsel,9.99,517,2018-02-13,west,5164.83
magenta morsel,2.5,547,2018-02-13,north,1367.5
magenta morsel,2.5,597,2018-02-13,south,1492.5
magenta morsel,2.5,599,2018-02-13,east,1497.5
magenta morsel,2.5,585,2018-02-13,west,1462.5
chartreuse morsel,3.0,578,2018-02-13,north,1734.0
chartreuse morsel,3.0,572,2018-02-13,south,1716.0
chartreuse morsel,3.0,590,2018-02-13,east,1770.0
chartreuse morsel,3.0,512,2018-02-13,west,1536.0
periwinkle morsel,1.25,515,2018-02-13,north,643.75
periwinkle morsel,1.25,504,2018-02-13,south,630.0
periwinkle morsel,1.25,538,2018-02-13,east,672.5
periwinkle morsel,1.25,515,2018-02-13,west,643.75
vermilion morsel,4.99,585,2018-02-13,north,2919.15
vermilion morsel,4.99,571,2018-02-13,south,2849.29
vermilion morsel,4.99,538,2018-02-13,east,2684.62
vermilion morsel,4.99,500,2018-02-13,west,2495.0
lapis morsel,1.99,501,2018-02-13,north,996.99
lapis morsel,1.99,541,2018-02-13,south,1076.59
lapis morsel,1.99,564,2018-02-13,east,1122.36
lapis morsel,1.99,501,2018-02-13,west,996.99
pink morsel,3.0,589,2018-02-14,north,1767.0
pink morsel,3.0,570,2018-02-14,south,1710.0
pink morsel,3.0,566,2018-02-14,east,1698.0
pink morsel,3.0,504,2018-02-14,west,1512.0
gold morsel,9.99,508,2018-02-14,north,5074.92
gold morsel,9.99,576,2018-02-14,south,5754.24
gold morsel,9.99,536,2018-02-14,east,5354.64
gold morsel,9.99,546,2018-02-14,west,5454.54
magenta morsel,2.5,594,2018-02-14,north,1485.0
magenta morsel,2.5,542,2018-02-14,south,1355.0
magenta morsel,2.5,507,2018-02-14,east,1267.5
magenta morsel,2.5,516,2018-02-14,west,1290.0
chartreuse morsel,3.0,527,2018-02-14,north,1581.0
chartreuse morsel,3.0,566,2018-02-14,south,1698.0
chartreuse morsel,3.0,598,2018-02-14,east,1794.0
chartreuse morsel,3.0,524,2018-02-14,west,1572.0
periwinkle morsel,1.25,595,2018-02-14,north,743.75
periwinkle morsel,1.25,600,2018-02-14,south,750.0
periwinkle morsel,1.25,558,2018-02-14,east,697.5
periwinkle morsel,1.25,527,2018-02-14,west,658.75
vermilion morsel,4.99,525,2018-02-14,north,2619.75
vermilion morsel,4.99,532,2018-02-14,south,2654.6800000000003
vermilion morsel,4.99,547,2018-02-14,east,2729.53
vermilion morsel,4.99,512,2018-02-14,west,2554.88
lapis morsel,1.99,531,2018-02-14,north,1056.69
lapis morsel,1.99,545,2018-02-14,south,1084.55
lapis morsel,1.99,596,2018-02-14,east,1186.04
lapis morsel,1.99,517,2018-02-14,west,1028.83
pink morsel,3.0,582,2018-02-15,north,1746.0
pink morsel,3.0,578,2018-02-15,south,1734.0
pink morsel,3.0,508,2018-02-15,east,1524.0
pink morsel,3.0,538,2018-02-15,west,1614.0
gold morsel,9.99,535,2018-02-15,north,5344.650000000001
gold morsel,9.99,508,2018-02-15,south,5074.92
gold morsel,9.99,577,2018-02-15,east,5764.2300000000005
gold morsel,9.99,511,2018-02-15,west,5104.89
magenta morsel,2.5,523,2018-02-15,north,1307.5
magenta morsel,2.5,530,2018-02-15,south,1325.0
magenta morsel,2.5,582,2018-02-15,east,1455.0
magenta morsel,2.5,562,2018-02-15,west,1405.0
chartreuse morsel,3.0,535,2018-02-15,north,1605.0
chartreuse morsel,3.0,533,2018-02-15,south,1599.0
chartreuse morsel,3.0,588,2018-02-15,east,1764.0
chartreuse morsel,3.0,508,2018-02-15,west,1524.0
periwinkle morsel,1.25,511,2018-02-15,north,638.75
periwinkle morsel,1.25,541,2018-02-15,south,676.25
periwinkle morsel,1.25,529,2018-02-15,east,661.25
periwinkle morsel,1.25,570,2018-02-15,west,712.5
vermilion morsel,4.99,518,2018-02-15,north,2584.82
vermilion morsel,4.99,533,2018-02-15,south,2659.67
vermilion morsel,4.99,533,2018-02-15,east,2659.67
vermilion morsel,4.99,553,2018-02-15,west,2759.4700000000003
lapis morsel,1.99,526,2018-02-15,north,1046.74
lapis morsel,1.99,555,2018-02-15,south,1104.45
lapis morsel,1.99,552,2018-02-15,east,1098.48
lapis morsel,1.99,553,2018-02-15,west,1100.47
pink morsel,3.0,526,2018-02-16,north,1578.0
pink morsel,3.0,594,2018-02-16,south,1782.0
pink morsel,3.0,509,2018-02-16,east,1527.0
pink morsel,3.0,584,2018-02-16,west,1752.0
